일시,평균기온(℃),최고기온(℃),최저기온(℃),평균습도(%rh),최저습도(%rh),강수량(mm),평균풍속(m/s),최대풍속(m/s),최대풍속풍향(deg),실효습도(%),월,산불발생여부,산불발생건수,피해면적(ha)
2000-01-01,4.2,5.3,2.1,90.9,78.0,2.3,1.4,3.3,250.0,46.837,1,0,0,0.0
2000-01-02,6.6,11.6,3.8,62.0,34.0,0.3,3.4,10.5,200.0,46.837,1,0,0,0.0
2000-01-03,2.9,9.2,0.1,36.8,19.0,0.0,4.4,10.6,230.0,46.837,1,0,0,0.0
2000-01-04,2.3,7.2,-0.2,46.3,25.0,0.0,3.0,6.1,230.0,46.837,1,0,0,0.0
2000-01-05,1.7,2.4,0.7,89.3,63.0,8.7,1.6,4.3,230.0,76.20599999999999,1,0,0,0.0
2000-01-06,4.3,9.4,-1.1,71.1,27.0,3.3,3.7,11.5,230.0,71.975,1,0,0,0.0
2000-01-07,-4.0,-1.1,-6.7,34.9,25.0,0.0,6.5,14.8,200.0,46.28999999999999,1,0,0,0.0
2000-01-08,-0.6,3.7,-4.8,44.3,33.0,0.0,4.9,12.2,230.0,45.646,1,0,0,0.0
2000-01-09,1.1,4.5,-1.8,34.5,22.0,0.0,2.2,6.6,200.0,37.586,1,0,0,0.0
2000-01-10,3.2,9.1,-0.1,40.3,20.0,0.0,2.3,6.3,230.0,39.258,1,0,0,0.0
2000-01-11,2.0,4.5,-1.5,56.9,38.0,0.0,2.8,6.4,230.0,51.634,1,0,0,0.0
2000-01-12,3.1,4.1,2.5,90.6,67.0,5.1,1.2,3.3,270.0,78.65599999999999,1,0,0,0.0
2000-01-13,3.8,9.8,1.0,75.6,48.0,2.9,2.3,8.1,230.0,76.232,1,0,0,0.0
2000-01-14,2.7,7.2,0.3,60.8,49.0,0.0,2.7,6.7,230.0,65.72899999999998,1,0,0,0.0
2000-01-15,1.5,7.0,-2.4,63.4,40.0,0.0,2.9,6.8,230.0,64.55,1,0,0,0.0
2000-01-16,2.5,5.8,-0.2,72.9,63.0,0.0,2.4,4.9,320.0,70.23400000000001,1,0,0,0.0
2000-01-17,1.6,3.0,0.5,96.1,89.0,9.4,1.4,3.7,320.0,88.112,1,0,0,0.0
2000-01-18,2.6,7.3,0.0,59.5,21.0,0.0,2.8,8.2,230.0,67.875,1,0,0,0.0
2000-01-19,-1.7,2.4,-5.6,45.9,34.0,0.0,4.1,10.4,230.0,52.94399999999999,1,0,0,0.0
2000-01-20,-5.8,-1.6,-8.1,34.9,22.0,0.0,5.4,10.2,230.0,40.658,1,0,0,0.0
2000-01-21,-4.1,1.6,-8.9,37.6,18.0,0.0,3.2,7.4,230.0,38.298,1,0,0,0.0
2000-01-22,2.1,7.7,-3.8,37.8,10.0,0.0,3.3,7.1,250.0,37.8,1,0,0,0.0
2000-01-23,3.6,8.1,0.6,78.8,56.0,0.3,1.4,5.2,230.0,66.399,1,0,0,0.0
2000-01-24,2.4,6.2,-0.2,64.3,26.0,3.3,3.7,10.3,230.0,64.544,1,0,0,0.0
2000-01-25,-3.2,-0.2,-6.9,78.5,39.0,18.2,2.6,5.5,290.0,74.46000000000001,1,0,0,0.0
2000-01-26,-5.2,-0.4,-9.4,58.8,31.0,3.0,3.4,7.4,230.0,63.725,1,0,0,0.0
2000-01-27,-3.7,0.8,-7.6,68.3,38.0,9.5,2.0,5.8,230.0,66.994,1,0,0,0.0
2000-01-28,1.4,7.7,-3.9,34.9,19.0,0.0,3.7,8.2,230.0,44.56099999999999,1,0,0,0.0
2000-01-29,2.6,6.8,-0.5,35.4,18.0,0.0,4.4,8.6,200.0,38.305,1,0,0,0.0
2000-01-30,-0.2,2.5,-5.0,44.3,30.0,0.0,5.1,11.8,230.0,42.582,1,0,0,0.0
2000-01-31,-5.0,-0.5,-7.8,47.0,36.0,0.0,4.1,6.8,200.0,45.285,1,0,0,0.0
2000-02-01,-2.0,4.6,-7.1,33.3,19.0,0.0,3.8,7.2,200.0,36.87299999999999,2,0,0,0.0
2000-02-02,0.0,5.2,-3.6,27.6,14.0,0.0,5.3,10.3,230.0,30.599,2,0,0,0.0
2000-02-03,0.8,5.5,-2.5,42.5,27.0,0.0,3.9,9.7,230.0,39.011,2,0,0,0.0
2000-02-04,0.6,6.9,-3.6,47.0,24.0,0.0,2.9,6.6,230.0,44.331,2,0,0,0.0
2000-02-05,3.8,9.3,-1.0,48.8,22.0,0.0,2.6,6.1,250.0,47.363,2,0,0,0.0
2000-02-06,3.7,7.1,1.5,56.4,32.0,0.0,2.4,8.7,230.0,53.80499999999999,2,0,0,0.0
2000-02-07,1.4,5.5,-1.0,51.4,34.0,0.0,3.9,9.3,230.0,52.08599999999999,2,0,0,0.0
2000-02-08,-4.8,-0.6,-6.6,40.5,30.0,0.0,5.1,9.3,230.0,44.042,2,0,0,0.0
2000-02-09,-1.6,4.3,-6.7,31.6,17.0,0.0,4.1,7.9,230.0,35.51,2,0,0,0.0
2000-02-10,1.9,8.4,-3.3,25.5,13.0,0.0,4.0,7.6,200.0,28.547,2,0,0,0.0
2000-02-11,3.8,8.5,0.4,41.1,29.0,0.0,4.7,8.3,200.0,37.297,2,0,0,0.0
2000-02-12,5.1,10.0,2.2,37.4,26.0,0.0,5.2,9.3,230.0,37.133,2,0,0,0.0
2000-02-13,4.7,9.7,0.4,52.3,30.0,0.0,2.7,6.7,230.0,47.73199999999999,2,0,0,0.0
2000-02-14,3.4,8.3,-2.2,45.5,22.0,0.0,4.3,9.6,230.0,46.161,2,0,0,0.0
2000-02-15,-3.0,0.8,-5.7,29.3,17.0,0.0,5.4,10.7,230.0,34.393,2,0,0,0.0
2000-02-16,-2.7,2.5,-7.2,30.5,16.0,0.0,5.1,9.2,230.0,31.963999999999995,2,0,0,0.0
2000-02-17,-1.5,3.9,-6.1,26.3,14.0,0.0,5.2,9.0,230.0,27.926,2,0,0,0.0
2000-02-18,-0.6,4.5,-4.7,36.1,14.0,0.0,2.8,7.2,230.0,33.544,2,0,0,0.0
2000-02-19,3.1,8.7,-2.8,32.9,12.0,0.0,1.8,4.0,230.0,33.006,2,0,0,0.0
2000-02-20,1.8,5.8,-1.6,62.9,44.0,0.0,2.4,6.0,340.0,53.926,2,0,0,0.0
2000-02-21,1.4,6.5,-3.2,27.8,12.0,0.0,3.6,6.5,270.0,35.425999999999995,2,0,0,0.0
2000-02-22,1.3,5.5,-3.7,32.9,18.0,0.0,3.0,6.5,230.0,33.98,2,0,0,0.0
2000-02-23,3.7,8.8,1.3,33.0,26.0,0.0,4.3,9.0,230.0,33.513,2,0,0,0.0
2000-02-24,-1.3,3.4,-4.1,32.8,19.0,0.0,3.0,6.7,340.0,32.697,2,0,0,0.0
2000-02-25,-0.4,4.8,-5.1,37.6,18.0,0.0,2.7,6.4,200.0,36.17700000000001,2,0,0,0.0
2000-02-26,2.2,6.7,-1.3,39.8,24.0,0.0,3.6,8.3,230.0,38.666,2,0,0,0.0
2000-02-27,2.6,7.8,-2.3,46.6,19.0,3.0,3.4,9.0,270.0,44.196,2,0,0,0.0
2000-02-28,-1.8,1.6,-5.4,56.4,34.0,0.3,3.3,7.3,340.0,52.714,2,0,0,0.0
2000-02-29,1.1,7.1,-5.7,32.6,16.0,0.0,3.2,6.5,230.0,38.556,2,0,0,0.0
2000-03-01,6.3,13.8,0.4,35.1,21.0,0.0,4.1,7.5,230.0,36.436,3,0,0,0.0
2000-03-02,10.8,17.2,5.9,35.3,23.0,0.0,3.4,7.6,230.0,35.704,3,0,0,0.0
2000-03-03,13.2,20.3,8.3,20.1,10.0,0.0,2.9,6.2,230.0,24.565,3,0,0,0.0
2000-03-04,12.2,18.0,6.2,31.5,16.0,0.0,2.4,5.8,250.0,29.594,3,0,0,0.0
2000-03-05,6.0,12.3,1.9,53.3,28.0,0.0,2.1,4.8,230.0,46.076,3,0,0,0.0
2000-03-06,6.9,14.0,1.7,27.8,13.0,0.0,5.4,13.9,230.0,32.928000000000004,3,0,0,0.0
2000-03-07,1.6,7.4,-2.5,19.1,9.0,0.0,5.0,10.6,230.0,23.606,3,0,0,0.0
2000-03-08,0.6,6.4,-3.8,27.4,15.0,0.0,5.1,10.6,250.0,26.545,3,0,0,0.0
2000-03-09,3.2,8.8,-2.4,20.8,12.0,0.0,4.5,9.4,230.0,22.211,3,0,0,0.0
2000-03-10,6.7,12.6,-0.4,24.6,13.0,0.0,4.4,9.0,200.0,23.871,3,0,0,0.0
2000-03-11,8.5,12.4,6.5,39.6,25.0,0.0,4.0,7.5,230.0,34.918000000000006,3,0,0,0.0
2000-03-12,7.9,14.3,1.0,42.5,18.0,0.0,3.4,8.6,230.0,40.016,3,0,0,0.0
2000-03-13,6.9,11.2,2.4,38.0,16.0,0.0,2.8,6.6,200.0,38.60999999999999,3,0,0,0.0
2000-03-14,5.7,10.5,0.5,49.9,15.0,0.0,3.1,7.0,230.0,46.693000000000005,3,0,0,0.0
2000-03-15,9.0,14.7,-0.6,38.0,13.0,0.0,2.0,4.6,90.0,40.51499999999999,3,0,0,0.0
2000-03-16,4.9,9.6,3.1,87.4,35.0,5.8,2.4,7.9,340.0,73.413,3,0,0,0.0
2000-03-17,9.0,15.2,-0.3,47.4,22.0,0.0,2.5,7.2,230.0,54.81699999999999,3,0,0,0.0
2000-03-18,13.7,17.7,9.2,28.4,16.0,0.0,5.4,11.9,230.0,36.618,3,0,0,0.0
2000-03-19,6.9,12.5,3.5,74.6,27.0,7.4,3.9,13.1,200.0,63.83999999999999,3,0,0,0.0
2000-03-20,6.8,12.2,1.9,66.0,34.0,0.0,3.0,6.6,70.0,64.53,3,0,0,0.0
2000-03-21,8.6,13.9,3.8,45.6,19.0,0.0,3.0,8.1,230.0,51.194,3,0,0,0.0
2000-03-22,7.3,10.4,3.8,60.5,49.0,0.0,2.7,7.7,110.0,58.328,3,0,0,0.0
2000-03-23,10.6,15.7,5.8,40.6,20.0,0.0,4.9,10.1,200.0,45.69199999999999,3,0,0,0.0
2000-03-24,7.1,11.5,3.7,23.8,12.0,0.0,5.2,12.0,230.0,30.383,3,0,0,0.0
2000-03-25,7.2,13.2,1.8,27.6,14.0,0.0,5.2,11.9,250.0,28.737000000000005,3,0,0,0.0
2000-03-26,6.1,11.0,1.8,42.0,17.0,0.0,3.1,7.3,290.0,37.804,3,0,0,0.0
2000-03-27,15.5,22.9,2.7,28.1,11.0,0.0,3.2,9.4,200.0,30.716,3,0,0,0.0
2000-03-28,9.6,16.1,6.5,74.1,30.0,2.1,2.5,6.9,200.0,61.258,3,0,0,0.0
2000-03-29,8.4,11.5,6.1,67.0,44.0,0.6,3.1,7.2,230.0,64.947,3,0,0,0.0
2000-03-30,12.6,18.5,6.4,29.6,18.0,0.0,4.3,8.7,250.0,40.14999999999999,3,0,0,0.0
2000-03-31,12.1,20.5,5.8,30.4,14.0,0.0,4.5,9.1,230.0,34.113,3,0,0,0.0
