"date","startyear","startmonth","startday","starttime","endyear","endmonth","endday","endtime","locsi","locgungu","locmenu","locdong","locbunji","firecause","damagearea"
"2011-01-01","2011","01","01","13:40:00","2011","01","01","16:30:00","경남","함안","칠북","봉촌","산270-1외 3필","입산자실화","1"
"2011-01-01","2011","01","01","14:37:00","2011","01","01","15:25:00","경남","거제","일운","소동","산32-2","입산자실화","0.05"
"2011-01-01","2011","01","01","16:07:00","2011","01","01","16:20:00","경남","거제","일운","소동","산75-6","입산자실화","0.02"
"2011-01-08","2011","01","08","12:27:00","2011","01","08","12:55:00","경남","산청","단성","입석","산20","쓰레기소각","0.01"
"2011-01-10","2011","01","10","21:30:00","2011","01","11","01:30:00","경남","산청","생비량","도","산164","입산자실화","0.1"
"2011-01-13","2011","01","13","10:00:00","2011","01","13","10:45:00","경남","창원 마산합포","구산","덕동","산116-1","입산자실화","0.18"
"2011-01-13","2011","01","13","14:00:00","2011","01","13","16:30:00","충북","단양","단양","금곡","산4","농산부산물소각","0.1"
"2011-01-15","2011","01","15","09:01:00","2011","01","15","11:18:00","경남","합천","쌍백","운곡","산38","입산자실화","1"
"2011-01-15","2011","01","15","15:20:00","2011","01","15","17:10:00","경북","영덕","강구","하저","산117-1","건축물화재비화","1"
"2011-01-16","2011","01","16","14:40:00","2011","01","16","15:30:00","경남","의령","유곡","오목","산49-1","입산자실화","0.05"
"2011-01-17","2011","01","17","13:05:00","2011","01","17","13:53:00","부산","기장","철마","웅천","142-2","농산부산물소각","0.5"
"2011-01-17","2011","01","17","14:09:00","2011","01","17","15:25:00","경남","거제","하청","어온","산76-1","농산부산물소각","0.1"
"2011-01-19","2011","01","19","12:55:00","2011","01","19","15:25:00","전남","순천","낙안","신기","산27-9","입산자실화","0.15"
"2011-01-21","2011","01","21","14:45:00","2011","01","21","15:30:00","경남","산청","신안","하청","산118","입산자실화","0.01"
"2011-01-21","2011","01","21","16:00:00","2011","01","21","23:30:00","경북","영양","영양","상원","산100-3","기타","2.5"
"2011-01-22","2011","01","22","06:33:00","2011","01","22","07:59:00","울산","동","동부","","산195-1","입산자실화","0.2"
"2011-01-22","2011","01","22","23:46:00","2011","01","23","00:10:00","강원","강릉","죽헌","","산108-41","담뱃불실화","0.3"
"2011-01-23","2011","01","23","14:08:00","2011","01","23","15:50:00","전남","완도","완도","정도","산10","쓰레기소각","0.3"
"2011-01-28","2011","01","28","13:21:00","2011","01","28","14:49:00","경남","합천","야로","하빈","산40-2","입산자실화","0.2"
"2011-01-28","2011","01","28","14:00:00","2011","01","28","14:25:00","울산","울주","언양","반곡","산57","기타","0.02"
"2011-01-28","2011","01","28","14:00:00","2011","01","28","15:40:00","전남","순천","조례","","산135-1","입산자실화","0.3"
"2011-01-28","2011","01","28","19:10:00","2011","01","28","21:19:00","울산","울주","온양","내광","산85-2","입산자실화","0.5"
"2011-01-28","2011","01","28","23:58:00","2011","01","29","02:17:00","울산","동","동부","","산195-1","입산자실화","0.5"
"2011-01-29","2011","01","29","11:48:00","2011","01","29","13:00:00","경북","울진","원남","갈면","산90","입산자실화","0.1"
"2011-01-29","2011","01","29","13:20:00","2011","01","29","13:40:00","울산","북","상안","","산149-3","농산부산물소각","0.03"
"2011-01-29","2011","01","29","16:10:00","2011","01","29","16:50:00","전남","광양","광양","덕례","산152","입산자실화","0.2"
"2011-01-30","2011","01","30","12:49:00","2011","01","31","11:00:00","전남","구례","토지","파도","산74-2","입산자실화","25"
"2011-01-31","2011","01","31","02:41:00","2011","01","31","05:30:00","경북","울진","기성","구산","산8-5","건축물화재비화","0.2"
"2011-01-31","2011","01","31","11:01:00","2011","01","31","12:34:00","부산","금정","금사","","산49","입산자실화","1"
"2011-01-31","2011","01","31","13:14:00","2011","01","31","14:00:00","경북","영주","이산","석포","산129","기타","0.2"
"2011-01-31","2011","01","31","16:00:00","2011","01","31","16:30:00","경남","양산","삼호","","산46-48","입산자실화","0.01"
"2011-01-31","2011","01","31","18:14:00","2011","02","01","10:30:00","강원","양양","현남","상월천","산92외 141필","기타","30"
"2011-01-31","2011","01","31","21:31:00","2011","02","01","08:10:00","강원","양양","강현","금풍","산37","건축물화재비화","3.5"
"2011-02-01","2011","02","01","14:30:00","2011","02","01","16:20:00","충북","제천","금성","성내","산46-1","입산자실화","0.07"
"2011-02-01","2011","02","01","16:48:00","2011","02","01","17:50:00","전남","장흥","대덕","응암","산25","입산자실화","0.2"
"2011-02-01","2011","02","01","21:15:00","2011","02","01","22:38:00","강원","강릉","대전","","산147-3","입산자실화","0.2"
"2011-02-02","2011","02","02","11:18:00","2011","02","02","12:35:00","경북","포항 북","죽장","월평","산110","쓰레기소각","0.1"
"2011-02-02","2011","02","02","15:05:00","2011","02","02","15:35:00","경남","양산","원동","화제","34 외 1필","기타","0.06"
"2011-02-02","2011","02","02","15:42:00","2011","02","02","16:45:00","경남","진주","장재","","산39","입산자실화","0.01"
"2011-02-03","2011","02","03","12:30:00","2011","02","03","13:28:00","경남","합천","합천","서산","산87","기타","0.09"
"2011-02-03","2011","02","03","13:15:00","2011","02","03","13:45:00","울산","울주","상북","등억","산58","기타","0.02"
"2011-02-03","2011","02","03","13:35:00","2011","02","03","14:40:00","부산","해운대","반여","","산111 외 2","입산자실화","0.3"
"2011-02-04","2011","02","04","03:30:00","2011","02","04","04:50:00","대전","유성","학하","","산4-7","기타","0.1"
"2011-02-04","2011","02","04","05:40:00","2011","02","04","07:30:00","경남","사천","곤명","마곡","산113","입산자실화","1"
"2011-02-04","2011","02","04","14:25:00","2011","02","04","15:28:00","경북","의성","사곡","매곡","산143","농산부산물소각","0.1"
"2011-02-05","2011","02","05","05:40:00","2011","02","05","09:10:00","경남","하동","하동","두곡","산149","입산자실화","0.7"
"2011-02-05","2011","02","05","12:55:00","2011","02","05","13:30:00","경북","청송","부남","대전","산112","기타","0.01"
